iter	Logloss
0	0.636600929
1	0.5839207323
2	0.5473495677
3	0.5047066604
4	0.4715512916
5	0.4417127295
6	0.4151716594
7	0.3875813786
8	0.368905321
9	0.3468638553
10	0.3218434249
11	0.3036038121
12	0.2839558758
13	0.2672093548
14	0.2579514709
15	0.2460178182
16	0.238260752
17	0.2279143032
18	0.2196143187
19	0.2124829836
20	0.2047293941
21	0.2002055856
22	0.1947653082
23	0.1873248861
24	0.1825001994
25	0.1774514114
26	0.1706997594
27	0.1674508928
28	0.1622025695
29	0.1579951878
30	0.1531342977
31	0.149776507
32	0.1473833881
33	0.1440590001
34	0.1411799902
35	0.1378479004
36	0.1333442157
37	0.1289132275
38	0.1262903696
39	0.1240296303
40	0.1224907863
41	0.119843652
42	0.1169076992
43	0.1149040898
44	0.1135304729
45	0.1119330684
46	0.109653666
47	0.1083219021
48	0.1061740344
49	0.1049853337
50	0.1032410875
51	0.1015141523
52	0.1000430373
53	0.0981814469
54	0.09706301629
55	0.09527884858
56	0.09393061867
57	0.09315175648
58	0.09185488013
59	0.09063064599
60	0.08966651144
61	0.08884072002
62	0.08787391759
63	0.08727461779
64	0.08633880374
65	0.08543654333
66	0.08426548559
67	0.08298162267
68	0.08175478706
69	0.08047831813
70	0.07980638818
71	0.07857702955
72	0.07795076732
73	0.07668839225
74	0.07522321049
75	0.07408727573
76	0.07341471805
77	0.07210583023
78	0.07184042508
79	0.0706965531
80	0.06919829453
81	0.06836856166
82	0.06737415096
83	0.06667970102
84	0.06557942644
85	0.06444472301
86	0.06372660021
87	0.0630849283
88	0.06244044364
89	0.06129527997
90	0.06080797654
91	0.05974601794
92	0.05906854702
93	0.05821022203
94	0.05760605728
95	0.05687084681
96	0.05591274817
97	0.05474124377
98	0.05368737933
99	0.05288407772
100	0.05240789244
101	0.05188026308
102	0.05108556868
103	0.05050185059
104	0.04969548575
105	0.04908959171
106	0.04850648626
107	0.04767413683
108	0.04679229893
109	0.04612967334
110	0.04498916034
111	0.04457456251
112	0.04429727265
113	0.04359993754
114	0.04288564754
115	0.04248552685
116	0.04199439363
117	0.0416861003
118	0.04091466228
119	0.04035163228
120	0.03988285608
121	0.03920757318
122	0.03869810587
123	0.03825370571
124	0.03763655168
125	0.03712573233
126	0.03678975226
127	0.0363877393
128	0.03600907628
129	0.0356121184
130	0.03498470632
131	0.03432327886
132	0.03377860105
133	0.03343275227
134	0.03283618372
135	0.03246337251
136	0.03213997732
137	0.03192162816
138	0.03150467329
139	0.0312421171
140	0.03091040442
141	0.030549994
142	0.03013599673
143	0.02973903584
144	0.02935260459
145	0.02897852886
146	0.0286348017
147	0.02829342854
148	0.02802039702
149	0.02767105948
150	0.02737986287
151	0.02698403974
152	0.02667244778
153	0.0264130695
154	0.02618697927
155	0.02589377572
156	0.02552247953
157	0.02517518514
158	0.02493045451
159	0.02467910248
160	0.02434729926
161	0.02411118338
162	0.02364511731
163	0.02347404746
164	0.02324217784
165	0.02306324319
166	0.02286355707
167	0.02263147318
168	0.02242448662
169	0.02212237255
170	0.02188681651
171	0.02164884157
172	0.0214227272
173	0.02121243598
174	0.02098785775
175	0.02080100096
176	0.02060394951
177	0.02045649366
178	0.02021176906
179	0.01998378053
180	0.01985368548
181	0.01973004733
182	0.01951759676
183	0.01940793931
184	0.01920718785
185	0.01903279824
186	0.01886104481
187	0.01873518545
188	0.01858920538
189	0.01839329623
190	0.01828739613
191	0.01810605315
192	0.01798443855
193	0.01784742482
194	0.01771737352
195	0.01754717133
196	0.01741915262
197	0.01729168469
198	0.01718415791
199	0.01701754105
200	0.01689643347
201	0.01679161832
202	0.01669179035
203	0.0165603523
204	0.01642250109
205	0.0163272921
206	0.01620501053
207	0.01605157913
208	0.01595857777
209	0.01584901689
210	0.01577011543
211	0.01566927192
212	0.01560876943
213	0.01547272447
214	0.01536444169
215	0.01530080053
216	0.01520847822
217	0.01512630982
218	0.01503807985
219	0.01495813418
220	0.01489972465
221	0.01484174366
222	0.01473687269
223	0.01464286032
224	0.01454723183
225	0.01448513586
226	0.01441223712
227	0.0143242335
228	0.01424564591
229	0.01415854466
230	0.01406586623
231	0.01397941686
232	0.01391117784
233	0.01383732542
234	0.01376595376
235	0.01370045505
236	0.0136147994
237	0.01354925844
238	0.01347651059
239	0.01340705835
240	0.01330486732
241	0.01325579535
242	0.01317911208
243	0.01308196708
244	0.01301008387
245	0.01293048678
246	0.0128540027
247	0.01279368883
248	0.01272466515
249	0.01263564146
250	0.01256592591
251	0.01248809205
252	0.01241008994
253	0.01233970515
254	0.01226656346
255	0.01221224326
256	0.0121576786
257	0.01208843461
258	0.01202636127
259	0.01192761675
260	0.01187804832
261	0.01180985532
262	0.01174568149
263	0.01165386544
264	0.01160260016
265	0.01152310568
266	0.01145661934
267	0.01139042347
268	0.01134272014
269	0.01126130925
270	0.01121587617
271	0.01109875229
272	0.01105551629
273	0.01096669254
274	0.01091691135
275	0.01086024544
276	0.01078138472
277	0.01071334941
278	0.01065725465
279	0.01058126703
280	0.01053610029
281	0.01049654242
282	0.01045764851
283	0.0104163357
284	0.01037630024
285	0.0103138474
286	0.0102746381
287	0.01024294579
288	0.01020506515
289	0.01015721846
290	0.01012056311
291	0.01005760326
292	0.009986509251
293	0.009931089757
294	0.00989382101
