iter	Passed	Remaining
424	2715	479
425	2719	472
426	2725	465
427	2731	459
428	2736	452
429	2740	446
430	2744	439
431	2749	432
432	2754	426
433	2758	419
434	2763	412
435	2768	406
436	2772	399
437	2776	393
438	2780	386
439	2784	379
440	2788	373
441	2792	366
442	2796	359
443	2800	353
444	2803	346
445	2807	339
446	2815	333
447	2820	327
448	2825	320
449	2831	314
450	2835	308
451	2839	301
452	2843	295
453	2847	288
454	2851	282
455	2855	275
456	2861	269
457	2865	262
458	2870	256
459	2875	250
460	2878	243
461	2882	237
462	2886	230
463	2889	224
464	2893	217
465	2897	211
466	2900	204
467	2904	198
468	2908	192
469	2911	185
470	2915	179
471	2921	173
472	2925	166
473	2929	160
474	2934	154
475	2938	148
476	2942	141
477	2946	135
478	2950	129
479	2954	123
480	2961	116
481	2966	110
482	2970	104
483	2974	98
484	2978	92
485	2983	85
486	2987	79
487	2991	73
488	2995	67
489	2999	61
490	3003	55
491	3007	48
492	3011	42
493	3015	36
494	3019	30
495	3023	24
496	3026	18
497	3030	12
498	3034	6
499	3038	0
